"old","new","replacements"
"https://static.wixstatic.com/media/e09be6_8b03cd41b34d469f8bb34798e565dd1f~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\icons\tiktok-icon.png""","0"
"https://static.wixstatic.com/media/e09be6_909dc0f87a4d408bb67617ea9b33f7f8~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\summer26\summer6.png""","0"
"https://static.wixstatic.com/media/e09be6_91abf91c0a8c47d6b51d398148d52ef6~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\summer26\summer7.png""","0"
"https://static.wixstatic.com/media/e09be6_9917ee7676794c948937e86581af1218~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\lms.png""","0"
"https://static.wixstatic.com/media/e09be6_9b9589a32c0f421cbafe8d4c9539f0ec~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\kids\kids5.avif""","0"
"https://static.wixstatic.com/media/e09be6_9d2ec8313eea4f13860d59b2eb275b17~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\contact-hero.avif""","0"
"https://static.wixstatic.com/media/e09be6_9d54e256a8e14f61a58bdac6934865ba~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\eacc-white-logo.png""","0"
"https://static.wixstatic.com/media/e09be6_a3b0909ee8ad48159cd921bcd5dc2bdc~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\hero (2).avif""","0"
"https://static.wixstatic.com/media/e09be6_a3e8207760664f989271b7bf506b7f03~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\eacc-blue-logo.png""","0"
"https://static.wixstatic.com/media/e09be6_a822f47fa84a405e8533dabbc2ff21f3~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\summer26\summer8.png""","0"
"https://static.wixstatic.com/media/e09be6_aaadae37d7f04c1daa58c8683b6068b3~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\spanish\spanish-hero4.avif""","0"
"https://static.wixstatic.com/media/e09be6_aaba92f696024022bd627a1e612c4e74~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\summer26\summer9.png"".","0"
"https://static.wixstatic.com/media/e09be6_abc36f20963b4f2fac87e0c261a334d3~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\summer26\summer9.png""","0"
"https://static.wixstatic.com/media/e09be6_ad56fedc0ed543b2b61eba42490c34c8~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\spanish\spanish-hero5.avif""","0"
"https://static.wixstatic.com/media/e09be6_ae261681e5834ded9d91f212bf2321cd~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\activities\act1.avif""","0"
"https://static.wixstatic.com/media/e09be6_af5dd3d9aa4346f099222388e7580206~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\summer26\summer10.png""","0"
"https://static.wixstatic.com/media/e09be6_b683196d4167435f9e5d3b2fcdc4eeee~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\hero (3).avif""","0"
"https://static.wixstatic.com/media/e09be6_b886450f92734e309e481fb7dd9d08d2~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\spanish\spanish-hero6.avif""","0"
"https://static.wixstatic.com/media/e09be6_b888ce3305c84b8cb62071e834fff55c~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\german\german-hero1.avif""","0"
"https://static.wixstatic.com/media/e09be6_b89691604e9d41b7a593d853dbf91bf4~mv2.jpg","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\activities\music.jpg""","0"
"https://static.wixstatic.com/media/e09be6_bb3711da483341719cb018bc8e858807~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\home-hero2.avif""","0"
"https://static.wixstatic.com/media/e09be6_c1f4ac88f7164b7db1c4514d7ef7c14f~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\hero (4).avif""","0"
"https://static.wixstatic.com/media/e09be6_cc724005fb8847058ee557226bbc2b8d~mv2.webp","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\activities\football.webp""","0"
"https://static.wixstatic.com/media/e09be6_cf0b242dfedd4f8d890f486586218ec2~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\tofel.avif""","0"
"https://static.wixstatic.com/media/e09be6_cfb70f7021fb4d1f9633ca366bcb4889~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\eacc-blue-logo.png""","0"
"https://static.wixstatic.com/media/e09be6_d108c6bf925340c3b13da6104467c035~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\partners\notting.avif""","0"
"https://static.wixstatic.com/media/e09be6_d2737a2c31434b098a91867242bf7da0~mv2.jpg","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\activities\fitnes.jpg""","0"
"https://static.wixstatic.com/media/e09be6_d48b44769966453e8e89b0668cf06065~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\activities\art.avif""","0"
"https://static.wixstatic.com/media/e09be6_d5ce66ecbc2a4a1184f90ea15b049707~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\adults.avif""","0"
"https://static.wixstatic.com/media/e09be6_d7626c97a3d345ca9256f39e487fb4cb~mv2.webp","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\activities\basketball.webp""","0"
"https://static.wixstatic.com/media/e09be6_dbc7842618de49f6b3344218fed462a0~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\int-exams.png""","0"
"https://static.wixstatic.com/media/e09be6_dd71877c175047a0966acf94fb2c4af4~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\summer26\summer11.png""","1"
"https://static.wixstatic.com/media/e09be6_de5fc8996f784abaae8b7813fc95930b~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\home-hero3.png""","5"
"https://static.wixstatic.com/media/e09be6_e5e40cfc1d874a4eafa496d38b4831e3~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\german\german-hero2.avif""","2"
"https://static.wixstatic.com/media/e09be6_ea8bcbfb27ab44ff9305cafb54669620~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\icons\linkidin-icon.png""","2"
"https://static.wixstatic.com/media/e09be6_ec3b8ac09c624ce99c42c4bc5497100d~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\summer26\summer12.png""","1"
"https://static.wixstatic.com/media/e09be6_f47c0a20e2884d35b89dbde89158066e~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\kids\kids6.avif""","3"
"https://static.wixstatic.com/media/e09be6_fdce994e2d764b88bd2cc581b0dd6f24~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\summer26\summer13.png""","1"
"https://static.wixstatic.com/media/e09be6_fe0d59eb0be3447e87199d9978407d29~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\spain.avif""","3"
"https://static.wixstatic.com/media/e09be6_fe8871fe7d9d415db32c64a6688672c7~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\icons\wp-icon.png""","36"
